abbreva,ccode,year,regiona,countryname,ccyr,IMRSOURCE,IMR,numstate,w
USA,2,1816,5,united states of america,21816,,,23,0.75
USA,2,1817,5,united states of america,21817,,,23,0.75
USA,2,1818,5,united states of america,21818,,,23,0.75
USA,2,1819,5,united states of america,21819,,,23,0.75
USA,2,1820,5,united states of america,21820,,,23,0.75
USA,2,1821,5,united states of america,21821,,,23,0.75
USA,2,1822,5,united states of america,21822,,,23,0.75
USA,2,1823,5,united states of america,21823,,,23,0.75
USA,2,1824,5,united states of america,21824,,,23,0.75
USA,2,1825,5,united states of america,21825,,,24,0.75
USA,2,1826,5,united states of america,21826,,,25,0.75
USA,2,1827,5,united states of america,21827,,,25,0.75
USA,2,1828,5,united states of america,21828,,,26,0.75
USA,2,1829,5,united states of america,21829,,,26,0.75
USA,2,1830,5,united states of america,21830,,,27,0.75
USA,2,1831,5,united states of america,21831,,,29,0.75
USA,2,1832,5,united states of america,21832,,,29,0.75
USA,2,1833,5,united states of america,21833,,,29,0.75
USA,2,1834,5,united states of america,21834,,,29,0.75
USA,2,1835,5,united states of america,21835,,,29,0.75
USA,2,1836,5,united states of america,21836,,,29,0.75
USA,2,1837,5,united states of america,21837,,,29,0.75
USA,2,1838,5,united states of america,21838,,,30,0.75
USA,2,1839,5,united states of america,21839,,,32,0.75
USA,2,1840,5,united states of america,21840,,,32,0.75
USA,2,1841,5,united states of america,21841,,,34,0.75
USA,2,1842,5,united states of america,21842,,,35,0.75
USA,2,1843,5,united states of america,21843,,,36,0.75
USA,2,1844,5,united states of america,21844,,,36,0.75
USA,2,1845,5,united states of america,21845,,,36,1
USA,2,1846,5,united states of america,21846,,,37,1
USA,2,1847,5,united states of america,21847,,,38,1
USA,2,1848,5,united states of america,21848,,,39,1
USA,2,1849,5,united states of america,21849,,,39,1
USA,2,1850,5,united states of america,21850,29,217.3999939,39,0.75
USA,2,1851,5,united states of america,21851,,,40,0.75
USA,2,1852,5,united states of america,21852,,,40,0.75
USA,2,1853,5,united states of america,21853,,,40,0.75
USA,2,1854,5,united states of america,21854,,,41,0.75
USA,2,1855,5,united states of america,21855,,,43,0.75
USA,2,1856,5,united states of america,21856,,,43,0.75
USA,2,1857,5,united states of america,21857,,,43,0.75
USA,2,1858,5,united states of america,21858,,,43,0.75
USA,2,1859,5,united states of america,21859,,,44,0.75
USA,2,1860,5,united states of america,21860,29,196.8999939,46,0.75
USA,2,1861,5,united states of america,21861,,,42,0.75
USA,2,1862,5,united states of america,21862,,,41,0.75
USA,2,1863,5,united states of america,21863,,,41,0.75
USA,2,1864,5,united states of america,21864,,,41,0.75
USA,2,1865,5,united states of america,21865,,,41,0.75
USA,2,1866,5,united states of america,21866,,,41,0.75
USA,2,1867,5,united states of america,21867,,,39,0.75
USA,2,1868,5,united states of america,21868,,,37,0.75
USA,2,1869,5,united states of america,21869,,,37,0.75
USA,2,1870,5,united states of america,21870,29,176,37,0.75
USA,2,1871,5,united states of america,21871,,,36,1
USA,2,1872,5,united states of america,21872,,,33,1
USA,2,1873,5,united states of america,21873,,,33,1
USA,2,1874,5,united states of america,21874,,,33,1
USA,2,1875,5,united states of america,21875,,,34,1
USA,2,1876,5,united states of america,21876,,,35,1
USA,2,1877,5,united states of america,21877,,,35,1
USA,2,1878,5,united states of america,21878,,,37,1
USA,2,1879,5,united states of america,21879,,,37,1
USA,2,1880,5,united states of america,21880,52,214.8000031,37,1
USA,2,1881,5,united states of america,21881,,,37,1
USA,2,1882,5,united states of america,21882,,,37,1
USA,2,1883,5,united states of america,21883,,,36,1
USA,2,1884,5,united states of america,21884,,,36,1
USA,2,1885,5,united states of america,21885,,,36,1
USA,2,1886,5,united states of america,21886,,,36,1
USA,2,1887,5,united states of america,21887,,,38,1
USA,2,1888,5,united states of america,21888,,,38,1
USA,2,1889,5,united states of america,21889,,,38,1
USA,2,1890,5,united states of america,21890,52,150.8999939,38,1
USA,2,1891,5,united states of america,21891,,,38,1
USA,2,1892,5,united states of america,21892,,,38,1
USA,2,1893,5,united states of america,21893,,,38,1
USA,2,1894,5,united states of america,21894,,,39,1
USA,2,1895,5,united states of america,21895,,,39,1
USA,2,1896,5,united states of america,21896,,,39,1
USA,2,1897,5,united states of america,21897,,,39,1
USA,2,1898,5,united states of america,21898,,,40,1
USA,2,1899,5,united states of america,21899,,,41,1
USA,2,1900,5,united states of america,21900,29,145,42,1
USA,2,1901,5,united states of america,21901,,,42,1
USA,2,1902,5,united states of america,21902,,,43,1
USA,2,1903,5,united states of america,21903,,,43,1
USA,2,1904,5,united states of america,21904,,,43,1
USA,2,1905,5,united states of america,21905,,,44,1
USA,2,1906,5,united states of america,21906,,,43,1
USA,2,1907,5,united states of america,21907,,,42,1
USA,2,1908,5,united states of america,21908,,,43,1
USA,2,1909,5,united states of america,21909,,,44,1
USA,2,1910,5,united states of america,21910,29,113,44,1
USA,2,1911,5,united states of america,21911,,,44,1
USA,2,1912,5,united states of america,21912,,,43,1
USA,2,1913,5,united states of america,21913,,,43,1
USA,2,1914,5,united states of america,21914,,,44,0.75
USA,2,1915,5,united states of america,21915,2,140,44,0.75
USA,2,1916,5,united states of america,21916,2,142,43,0.75
USA,2,1917,5,united states of america,21917,2,120.5,43,0.75
USA,2,1918,5,united states of america,21918,2,129,49,0.75
USA,2,1919,5,united states of america,21919,2,106.5,49,1
USA,2,1920,5,united states of america,21920,2,107,59,1
USA,2,1921,5,united states of america,21921,2,90,60,1
USA,2,1922,5,united states of america,21922,2,91.5,61,1
USA,2,1923,5,united states of america,21923,2,95,61,1
USA,2,1924,5,united states of america,21924,2,90,62,1
USA,2,1925,5,united states of america,21925,2,89.5,62,1
USA,2,1926,5,united states of america,21926,2,91,63,1
USA,2,1927,5,united states of america,21927,2,80.5,64,1
USA,2,1928,5,united states of america,21928,2,85,64,1
USA,2,1929,5,united states of america,21929,2,82.5,64,1
USA,2,1930,5,united states of america,21930,2,80,64,1
USA,2,1931,5,united states of america,21931,2,75,64,1
USA,2,1932,5,united states of america,21932,2,69.5,65,1
USA,2,1933,5,united states of america,21933,2,72,65,1
USA,2,1934,5,united states of america,21934,2,74,66,1
USA,2,1935,5,united states of america,21935,2,67.5,66,1
USA,2,1936,5,united states of america,21936,2,70.5,66,1
USA,2,1937,5,united states of america,21937,2,66.5,66,1
USA,2,1938,5,united states of america,21938,2,63,66,1
USA,2,1939,5,united states of america,21939,2,59,65,1
USA,2,1940,5,united states of america,21940,2,58.5,62,0.75
USA,2,1941,5,united states of america,21941,2,58,55,0.75
USA,2,1942,5,united states of america,21942,2,51,53,0.75
USA,2,1943,5,united states of america,21943,2,49.5,52,0.75
USA,2,1944,5,united states of america,21944,2,48.5,58,0.75
USA,2,1945,5,united states of america,21945,2,46.5,64,0.75
USA,2,1946,5,united states of america,21946,2,40.5,66,1
USA,2,1947,5,united states of america,21947,2,39,68,1
USA,2,1948,5,united states of america,21948,2,38,72,1
USA,2,1949,5,united states of america,21949,2,38,75,1
USA,2,1950,5,united states of america,21950,2,35.5,75,1
USA,2,1951,5,united states of america,21951,2,35.5,76,1
USA,2,1952,5,united states of america,21952,2,36,77,1
USA,2,1953,5,united states of america,21953,2,35,79,1
USA,2,1954,5,united states of america,21954,2,33.5,82,1
USA,2,1955,5,united states of america,21955,2,33.5,84,1
USA,2,1956,5,united states of america,21956,2,32.5,87,1
USA,2,1957,5,united states of america,21957,2,33.5,89,1
USA,2,1958,5,united states of america,21958,2,35,90,1
USA,2,1959,5,united states of america,21959,2,33.5,89,1
USA,2,1960,5,united states of america,21960,2,33,107,1
USA,2,1961,5,united states of america,21961,2,31.5,111,1
USA,2,1962,5,united states of america,21962,2,31.5,117,1
USA,2,1963,5,united states of america,21963,2,31.5,119,1
USA,2,1964,5,united states of america,21964,2,31.5,122,1
USA,2,1965,5,united states of america,21965,2,30.5,125,1
USA,2,1966,5,united states of america,21966,2,30,129,1
USA,2,1967,5,united states of america,21967,2,28,130,1
USA,2,1968,5,united states of america,21968,2,26.5,133,1
USA,2,1969,5,united states of america,21969,2,25.5,133,1
USA,2,1970,5,united states of america,21970,2,24.5,134,1
USA,2,1971,5,united states of america,21971,2,22.5,139,1
USA,2,1972,5,united states of america,21972,2,22,140,1
USA,2,1973,5,united states of america,21973,2,21,141,1
USA,2,1974,5,united states of america,21974,2,20,143,1
USA,2,1975,5,united states of america,21975,4,19,150,1
USA,2,1976,5,united states of america,21976,4,18,151,1
USA,2,1977,5,united states of america,21977,4,17,152,1
USA,2,1978,5,united states of america,21978,4,16.5,154,1
USA,2,1979,5,united states of america,21979,4,15.5,156,1
USA,2,1980,5,united states of america,21980,4,15,156,1
USA,2,1981,5,united states of america,21981,4,14,159,1
USA,2,1982,5,united states of america,21982,4,13.5,159,1
USA,2,1983,5,united states of america,21983,4,13.5,160,1
USA,2,1984,5,united states of america,21984,4,12.5,161,1
USA,2,1985,5,united states of america,21985,4,12.5,161,1
USA,2,1986,5,united states of america,21986,4,12.5,161,1
USA,2,1987,5,united states of america,21987,4,12.5,161,1
USA,2,1988,5,united states of america,21988,4,12,161,1
USA,2,1989,5,united states of america,21989,4,12,161,1
USA,2,1990,5,united states of america,21990,2,12,165,1
USA,2,1991,5,united states of america,21991,4,11,177,1
USA,2,1992,5,united states of america,21992,4,10.5,181,1
USA,2,1993,5,united states of america,21993,4,10.5,186,1
USA,2,1994,5,united states of america,21994,4,8.010000229,187,1
USA,2,1995,5,united states of america,21995,4,7.570000172,187,1
USA,2,1996,5,united states of america,21996,4,7.320000172,187,1
USA,2,1997,5,united states of america,21997,4,7.230000019,187,1
USA,2,1998,5,united states of america,21998,15,7.199999809,187,1
USA,2,1999,5,united states of america,21999,15,7.099999905,190,1
USA,2,2000,5,united states of america,22000,15,7,191,
USA,2,2001,5,united states of america,22001,15,7,191,
USA,2,2002,5,united states of america,22002,15,6.900000095,192,
CAN,20,1920,5,canada,201920,2,163,59,0.75
CAN,20,1921,5,canada,201921,2,102,60,1
CAN,20,1922,5,canada,201922,2,102,61,1
CAN,20,1923,5,canada,201923,2,103,61,1
