continent,location,total_deaths,date,total_deaths_per_million,stringency_index,population_density,median_age,gdp_per_capita,aged_65_older,life_expectancy,human_development_index,total_cases,stringency_index,Entity,Code,"Life expectancy at birth, total (years)","Total population (Gapminder, HYDE & UN)",log_life,log_death,log_life_curr
North America,Aruba,34.0,2020-10-20,318.453,,584.8,41.2,35973.781,13.085,76.29,,4334.0,,Aruba,ABW,67.43018181818182,50809.52380952381,4.2258139819560805,3.5553480614894135,4.34756458111878
Asia,Afghanistan,1497.0,2020-10-20,38.455,,54.422,18.6,1803.987,2.5810000000000004,64.83,0.498,40287.0,,Afghanistan,AFG,34.49045454545455,7713938.568627451,3.5692637742815028,7.311886164077165,4.187075661479786
Africa,Angola,247.0,2020-10-20,7.515,,23.89,16.8,5819.495,2.405,61.15,0.581,7622.0,,Angola,AGO,35.078272727272726,4534917.666666667,3.585690820635836,5.5134287461649825,4.12955081795672
North America,Anguilla,,2020-10-20,,,,,,,81.88,,3.0,,Anguilla,AIA,,6047.619047619048,,,4.4173937785111725
Europe,Albania,454.0,2020-10-20,157.759,,104.87100000000001,38.0,11803.431,13.187999999999999,78.57,0.785,17350.0,,Albania,ALB,65.31809090909091,1315618.0392156863,4.194462724361611,6.12029741895095,4.3766371373894435
Europe,Andorra,62.0,2020-10-20,802.433,,163.755,,,,83.73,0.858,3623.0,,Andorra,AND,,9005.019607843138,,4.143134726391533,4.439469730210373
Asia,United Arab Emirates,466.0,2020-10-20,47.11600000000001,,112.44200000000001,34.0,67293.483,1.1440000000000001,77.97,0.863,116517.0,,United Arab Emirates,ARE,57.220363636363636,84305.54901960785,4.064235184199099,6.1463292576688975,4.36906803350949
South America,Argentina,26716.0,2020-10-20,591.117,82.87,16.177,31.9,18933.907,11.198,76.67,0.825,1002649.0,82.87,Argentina,ARG,65.59318181818182,15979933.823529411,4.19860219720328,10.19305534589812,4.352469082431556
Asia,Armenia,1091.0,2020-10-20,368.17900000000003,,102.931,35.7,8787.58,11.232000000000001,75.09,0.755,65460.0,,Armenia,ARM,68.121,1470921.6470588236,4.235858591983738,6.9957661563048505,4.331916850188431
North America,Antigua and Barbuda,3.0,2020-10-20,30.635,,231.845,32.1,21490.943,6.933,77.02,0.78,119.0,,Antigua and Barbuda,ATG,64.09054545454546,43678.39215686275,4.175779307554492,1.3862943611198906,4.35696520407851
Oceania,Australia,905.0,2020-10-20,35.49,,3.202,37.9,44648.71,15.504000000000001,83.44,0.9390000000000001,27399.0,,Australia,AUS,70.90643015521066,8169867.156862745,4.2753656926504675,6.80903930604298,4.43604122298012
Europe,Austria,919.0,2020-10-20,102.039,,106.749,44.4,45436.685999999994,19.202,81.54,0.9079999999999999,66611.0,,Austria,AUT,69.66629711751666,6891111.470588235,4.257968756521125,6.824373670043086,4.413283024324436
Asia,Azerbaijan,630.0,2020-10-20,62.135,,119.309,32.4,15847.419,6.018,73.0,0.757,45295.0,,Azerbaijan,AZE,62.10372727272727,3125118.9803921566,4.144779837101017,6.447305862541213,4.30406509320417
Africa,Burundi,1.0,2020-10-20,0.084,,423.06199999999995,17.5,702.225,2.562,61.58,0.41700000000000004,549.0,,Burundi,BDI,42.712090909090904,2369340.470588235,3.777624743674633,0.6931471805599453,4.136445738240736
Africa,Benin,41.0,2020-10-20,3.3819999999999997,,99.11,18.8,2064.236,3.2439999999999998,61.77,0.515,2496.0,,Benin,BEN,39.65490909090909,2172051.68627451,3.705119593546345,3.7376696182833684,4.13947725232944
North America,Bonaire Sint Eustatius and Saba,3.0,2020-10-20,114.412,,,,,,77.79,,150.0,,Bonaire Sint Eustatius and Saba,BES,,8428.57142857143,,1.3862943611198906,4.366786085257597
Africa,Burkina Faso,65.0,2020-10-20,3.11,,70.15100000000001,17.6,1703.102,2.4090000000000003,61.58,0.423,2387.0,,Burkina Faso,BFA,36.78999999999999,4258508.039215687,3.6320445173613973,4.189654742026425,4.136445738240736
Asia,Bangladesh,5681.0,2020-10-20,34.495,,1265.036,27.5,3523.9840000000004,5.098,72.59,0.608,390206.0,,Bangladesh,BGD,47.80536363636364,41148488.313725494,3.887840217400598,8.645058562414134,4.298509146938508
Europe,Bulgaria,1008.0,2020-10-20,145.06799999999998,,65.18,44.7,18563.307,20.801,75.05,0.813,30527.0,,Bulgaria,BGR,70.56439024390247,6937054.039215687,4.270597607288312,6.9167150203536085,4.331391018705302
Asia,Bahrain,302.0,2020-10-20,177.482,,1935.9070000000002,32.4,43290.705,2.372,77.29,0.846,78224.0,,Bahrain,BHR,58.081999999999994,125470.62745098039,4.07892630949372,5.713732805509369,4.360419880919823
North America,Bahamas,123.0,2020-10-20,312.78,,39.497,34.3,27717.847,8.996,73.92,0.807,5773.0,,Bahamas,BHS,64.46345454545454,84870.7843137255,4.181492041060564,4.820281565605037,4.316420877575887
Europe,Bosnia and Herzegovina,997.0,2020-10-20,303.888,,68.49600000000001,42.5,11713.895,16.569000000000003,77.4,0.768,34661.0,,Bosnia and Herzegovina,BIH,63.342363636363636,2693124.862745098,4.16421825779081,6.905753276311464,4.361823927356363
Europe,Belarus,933.0,2020-10-20,98.73700000000001,,46.858000000000004,40.3,17167.967,14.799000000000001,74.79,0.8079999999999999,88290.0,,Belarus,BLR,69.28175388026608,7346986.901960785,4.2525122186174436,6.839476438228843,4.327966357823938
North America,Belize,45.0,2020-10-20,113.17299999999999,,16.426,25.0,7824.361999999999,3.853,74.62,0.708,2833.0,,Belize,BLZ,62.80481818181818,69736.88235294117,4.15582870759044,3.828641396489095,4.325720798462787
North America,Bermuda,9.0,2020-10-20,144.525,,1308.82,,50669.315,,82.59,,185.0,,Bermuda,BMU,69.5939024390244,45000.0,4.256943773050089,2.302585092994046,4.4259238957110645
South America,Bolivia,8502.0,2020-10-20,728.346,,10.202,25.4,6885.829000000001,6.704,71.51,0.693,139890.0,,Bolivia,BOL,43.841818181818184,3156068.3333333335,3.8031411455937265,9.048174321385792,4.2837244833835015
South America,Brazil,154176.0,2020-10-20,725.331,,25.04,33.5,14103.452,8.552,75.88,0.759,5250727.0,,Brazil,BRA,56.757,52443895.52941176,4.056244554177519,11.945856572047324,4.342245764662037
North America,Barbados,7.0,2020-10-20,24.359,,664.4630000000001,39.8,16978.068,14.952,79.19,0.8,222.0,,Barbados,BRB,63.36954545454545,198776.70588235295,4.164640624590866,2.0794415416798357,4.384398818818937
Asia,Brunei,3.0,2020-10-20,6.857,,81.347,32.4,71809.25099999999,4.591,75.86,0.853,147.0,,Brunei,BRN,64.8490909090909,53946.666666666664,4.187365622613218,1.3862943611198906,4.3419855851366975
Asia,Bhutan,,2020-10-20,,,21.188000000000002,28.6,8708.597,4.885,71.78,0.612,330.0,,Bhutan,BTN,36.88636363636363,189453.70588235295,3.6345912488325327,,4.287441192184014
Africa,Botswana,21.0,2020-10-20,8.93,,4.044,25.8,15807.374,3.9410000000000003,69.59,0.7170000000000001,5609.0,,Botswana,BWA,52.50627272727272,356261.2156862745,3.979798894267783,3.091042453358316,4.256888491407381
Africa,Central African Republic,62.0,2020-10-20,12.837,,7.479,18.3,661.24,3.655,53.28,0.36700000000000005,4856.0,,Central African Republic,CAF,38.93545454545455,1171539.7647058824,3.687264514436905,4.143134726391533,3.9941558349666684
North America,Canada,9778.0,2020-10-20,259.074,,4.037,41.4,44017.59099999999,16.984,82.43,0.9259999999999999,201437.0,,Canada,CAN,71.87665188470068,13729913.490196079,4.288768311785291,9.187992508312275,4.424007956913983
Europe,Switzerland,1837.0,2020-10-20,212.257,,214.243,43.1,57410.166,18.436,83.78,0.9440000000000001,83159.0,,Switzerland,CHE,72.07425720620843,4649709.019607843,4.291476146131531,7.516433302915632,4.440059665924491
South America,Chile,13676.0,2020-10-20,715.414,,24.281999999999996,35.4,22767.037,11.087,80.18,0.843,493305.0,,Chile,CHL,59.61000000000001,6163481.019607843,4.104459895963194,9.523470868881551,4.396668911410751
Asia,China,4739.0,2020-10-20,3.293,,147.674,38.7,15308.712,10.640999999999998,76.91,0.752,91006.0,,China,CHN,50.34054545454546,574231304.7843137,3.938480799744668,8.463792414689122,4.355554314342767
Africa,Cote d'Ivoire,121.0,2020-10-20,4.587,,76.399,18.7,3601.006,2.9330000000000003,57.78,0.49200000000000005,20324.0,,Cote d'Ivoire,CIV,40.17736363636364,2885440.843137255,3.7178886790636887,4.804021044733257,4.073801660990771
Africa,Cameroon,424.0,2020-10-20,15.972000000000001,,50.885,18.8,3364.926,3.165,59.29,0.556,21506.0,,Cameroon,CMR,43.773909090909086,4009685.7647058824,3.8016255834044927,6.052089168924417,4.099166252501314
Africa,Democratic Republic of Congo,302.0,2020-10-20,3.372,,35.879,17.0,808.133,3.02,60.68,0.457,11051.0,,Democratic Republic of Congo,COD,42.36809090909091,12853638.509803921,3.7697239381809577,5.713732805509369,4.1219597292550745
Africa,Congo,92.0,2020-10-20,16.672,,15.405,19.0,4881.406,3.4019999999999997,64.57,0.606,5156.0,,Congo,COG,51.26645454545455,862034.1568627451,3.956354760798404,4.532599493153256,4.183118274275528
South America,Colombia,29102.0,2020-10-20,571.941,65.74,44.223,32.2,13254.948999999999,7.646,77.29,0.747,965883.0,65.74,Colombia,COL,58.99272727272727,11910195.862745099,4.0942233427541055,10.278596540629394,4.360419880919823
Africa,Comoros,7.0,2020-10-20,8.05,,437.352,20.4,1413.89,2.963,64.32,0.503,502.0,,Comoros,COM,43.486999999999995,161910.80392156861,3.7951970116610414,2.0794415416798357,4.179298268102264
Africa,Cape Verde,87.0,2020-10-20,156.47799999999998,,135.58,25.7,6222.554,4.46,72.98,0.654,7800.0,,Cape Verde,CPV,50.97909090909092,179230.41176470587,3.950841539816291,4.477336814478207,4.303794786404308
North America,Costa Rica,1204.0,2020-10-20,236.351,58.33,96.079,33.6,15524.995,9.468,80.28,0.794,97075.0,58.33,Costa Rica,CRI,63.69627272727273,936459.0196078431,4.1697035913044935,7.094234845924755,4.397899983830172
North America,Cuba,127.0,2020-10-20,11.213,,110.40799999999999,43.1,,14.738,78.8,0.777,6258.0,,Cuba,CUB,66.90263636363638,5489849.411764706,4.218074860963125,4.852030263919617,4.379523504455763
North America,Curacao,1.0,2020-10-20,6.093999999999999,,362.644,41.7,,16.367,78.88,,751.0,,Curacao,CUW,,125047.61904761905,,0.6931471805599453,4.380525508547614
North America,Cayman Islands,1.0,2020-10-20,15.216,,256.496,,49903.029,,83.92,,235.0,,Cayman Islands,CYM,,7523.809523809524,,0.6931471805599453,4.441709636835055
Europe,Cyprus,25.0,2020-10-20,28.541999999999998,,127.65700000000001,37.3,32415.132,13.415999999999999,80.98,0.8690000000000001,2687.0,,Cyprus,CYP,71.15736363636364,453460.2156862745,4.278849340114162,3.258096538021482,4.406475315076191
Europe,Czech Republic,1513.0,2020-10-20,141.283,48.15,137.17600000000002,43.3,32605.906000000003,19.027,79.38,0.888,181962.0,48.15,Czech Republic,CZE,70.07931263858094,8866051.705882354,4.263796332989004,7.322510433997394,4.386765389021055
Europe,Germany,9836.0,2020-10-20,117.397,,237.016,46.6,45229.245,21.453000000000003,81.33,0.9359999999999999,373167.0,,Germany,DEU,70.07597117516632,70206538.19607843,4.2637493215332825,9.193906065512758,4.410735561310335
Africa,Djibouti,61.0,2020-10-20,61.74100000000001,,41.285,25.4,2705.406,4.213,67.11,0.47600000000000003,5469.0,,Djibouti,DJI,46.35527272727272,71298.80392156863,3.8576781698690135,4.127134385045092,4.221124045253227
North America,Dominica,,2020-10-20,,,98.56700000000001,,9673.367,,75.0,0.715,33.0,,Dominica,DMA,,50040.19607843137,,,4.330733340286331
Europe,Denmark,686.0,2020-10-20,118.435,37.96,136.52,42.3,46682.515,19.677,80.9,0.929,35844.0,37.96,Denmark,DNK,72.65847006651884,4068523.7647058824,4.29943914059376,6.532334292222349,4.405498990859024
